0,0
1,1
2,2
3,3
4,4
5,9
6,14
7,19
8,18
9,17
10,16
11,11
12,12
13,13
14,8
15,7
16,6
17,5
18,10
19,15
20,20
21,21
22,22
23,23
24,24
25,49
26,74
27,99
28,98
29,97
30,96
31,71
32,72
33,73
34,48
35,47
36,46
37,45
38,70
39,95
40,90
41,85
42,80
43,55
44,60
45,65
46,40
47,35
48,30
49,31
50,32
51,33
52,38
53,37
54,36
55,41
56,42
57,43
58,68
59,67
60,66
61,61
62,62
63,63
64,58
65,57
66,56
67,81
68,82
69,83
70,88
71,87
72,86
73,91
74,92
75,93
76,94
77,89
78,84
79,59
80,64
81,69
82,44
83,39
84,34
85,29
86,54
87,79
88,78
89,77
90,76
91,51
92,52
93,53
94,28
95,27
96,26
97,25
98,50
99,75
100,100
101,101
102,102
103,103
104,104
105,109
106,114
107,119
108,118
109,117
110,116
111,111
112,112
113,113
114,108
115,107
116,106
117,105
118,110
119,115
120,120
121,121
122,122
123,123
124,124
125,249
126,374
127,499
128,498
129,497
130,496
131,371
132,372
133,373
134,248
135,247
136,246
137,245
138,370
139,495
140,490
141,485
142,480
143,355
144,360
145,365
146,240
147,235
148,230
149,231
150,232
151,233
152,238
153,237
154,236
155,241
156,242
157,243
158,368
159,367
160,366
161,361
162,362
163,363
164,358
165,357
166,356
167,481
168,482
169,483
170,488
171,487
172,486
173,491
174,492
175,493
176,494
177,489
178,484
179,359
180,364
181,369
182,244
183,239
184,234
185,229
186,354
187,479
188,478
189,477
190,476
191,351
192,352
193,353
194,228
195,227
196,226
197,225
198,350
199,475
200,450
201,425
202,400
203,275
204,300
205,325
206,200
207,175
208,150
209,151
210,152
211,153
212,178
213,177
214,176
215,201
216,202
217,203
218,328
219,327
220,326
221,301
222,302
223,303
224,278
225,277
226,276
227,401
228,402
229,403
230,428
231,427
232,426
233,451
234,452
235,453
236,454
237,429
238,404
239,279
240,304
241,329
242,204
243,179
244,154
245,159
246,164
247,169
248,194
249,189
250,184
251,209
252,214
253,219
254,344
255,339
256,334
257,309
258,314
259,319
260,294
261,289
262,284
263,409
264,414
265,419
266,444
267,439
268,434
269,459
270,464
271,469
272,468
273,467
274,466
275,461
276,462
277,463
278,458
279,457
280,456
281,431
282,432
283,433
284,438
285,437
286,436
287,441
288,442
289,443
290,418
291,417
292,416
293,411
294,412
295,413
296,408
297,407
298,406
299,281
300,282
301,283
302,288
303,287
304,286
305,291
306,292
307,293
308,318
309,317
310,316
311,311
312,312
313,313
314,308
315,307
316,306
317,331
318,332
319,333
320,338
321,337
322,336
323,341
324,342
325,343
326,218
327,217
328,216
329,211
330,212
331,213
332,208
333,207
334,206
335,181
336,182
337,183
338,188
339,187
340,186
341,191
342,192
343,193
344,168
345,167
346,166
347,161
348,162
349,163
350,158
351,157
352,156
353,155
354,160
355,165
356,190
357,185
358,180
359,205
360,210
361,215
362,340
363,335
364,330
365,305
366,310
367,315
368,290
369,285
370,280
371,405
372,410
373,415
374,440
375,435
376,430
377,455
378,460
379,465
380,470
381,445
382,420
383,295
384,320
385,345
386,220
387,195
388,170
389,171
390,172
391,173
392,198
393,197
394,196
395,221
396,222
397,223
398,348
399,347
400,346
401,321
402,322
403,323
404,298
405,297
406,296
407,421
408,422
409,423
410,448
411,447
412,446
413,471
414,472
415,473
416,474
417,449
418,424
419,299
420,324
421,349
422,224
423,199
424,174
425,149
426,274
427,399
428,398
429,397
430,396
431,271
432,272
433,273
434,148
435,147
436,146
437,145
438,270
439,395
440,390
441,385
442,380
443,255
444,260
445,265
446,140
447,135
448,130
449,131
450,132
451,133
452,138
453,137
454,136
455,141
456,142
457,143
458,268
459,267
460,266
461,261
462,262
463,263
464,258
465,257
466,256
467,381
468,382
469,383
470,388
471,387
472,386
473,391
474,392
475,393
476,394
477,389
478,384
479,259
480,264
481,269
482,144
483,139
484,134
485,129
486,254
487,379
488,378
489,377
490,376
491,251
492,252
493,253
494,128
495,127
496,126
497,125
498,250
499,375
500,500
501,501
502,502
503,503
504,504
505,509
506,514
507,519
508,518
509,517
510,516
511,511
512,512
513,513
514,508
515,507
516,506
517,505
518,510
519,515
520,520
521,521
522,522
523,523
524,524
525,549
526,574
527,599
528,598
529,597
530,596
531,571
532,572
533,573
534,548
535,547
536,546
537,545
538,570
539,595
540,590
541,585
542,580
543,555
544,560
545,565
546,540
547,535
548,530
549,531
550,532
551,533
552,538
553,537
554,536
555,541
556,542
557,543
558,568
559,567
560,566
561,561
562,562
563,563
564,558
565,557
566,556
567,581
568,582
569,583
570,588
571,587
572,586
573,591
574,592
575,593
576,594
577,589
578,584
579,559
580,564
581,569
582,544
583,539
584,534
585,529
586,554
587,579
588,578
589,577
590,576
591,551
592,552
593,553
594,528
595,527
596,526
597,525
598,550
599,575
600,600
601,601
602,602
603,603
604,604
605,609
606,614
607,619
608,618
609,617
610,616
611,611
612,612
613,613
614,608
615,607
616,606
617,605
618,610
619,615
620,620
621,621
622,622
623,623
624,624
625,1249
626,1874
627,2499
628,2498
629,2497
630,2496
631,1871
632,1872
633,1873
634,1248
635,1247
636,1246
637,1245
638,1870
639,2495
640,2490
641,2485
642,2480
643,1855
644,1860
645,1865
646,1240
647,1235
648,1230
649,1231
650,1232
651,1233
652,1238
653,1237
654,1236
655,1241
656,1242
657,1243
658,1868
659,1867
660,1866
661,1861
662,1862
663,1863
664,1858
665,1857
666,1856
667,2481
668,2482
669,2483
670,2488
671,2487
672,2486
673,2491
674,2492
675,2493
676,2494
677,2489
678,2484
679,1859
680,1864
681,1869
682,1244
683,1239
684,1234
685,1229
686,1854
687,2479
688,2478
689,2477
690,2476
691,1851
692,1852
693,1853
694,1228
695,1227
696,1226
697,1225
698,1850
699,2475
700,2450
701,2425
702,2400
703,1775
704,1800
705,1825
706,1200
707,1175
708,1150
709,1151
710,1152
711,1153
712,1178
713,1177
714,1176
715,1201
716,1202
717,1203
718,1828
719,1827
720,1826
721,1801
722,1802
723,1803
724,1778
725,1777
726,1776
727,2401
728,2402
729,2403
730,2428
731,2427
732,2426
733,2451
734,2452
735,2453
736,2454
737,2429
738,2404
739,1779
740,1804
741,1829
742,1204
743,1179
744,1154
745,1159
746,1164
747,1169
748,1194
749,1189
750,1184
751,1209
752,1214
753,1219
754,1844
755,1839
756,1834
757,1809
758,1814
759,1819
760,1794
761,1789
762,1784
763,2409
764,2414
765,2419
766,2444
767,2439
768,2434
769,2459
770,2464
771,2469
772,2468
773,2467
774,2466
775,2461
776,2462
777,2463
778,2458
779,2457
780,2456
781,2431
782,2432
783,2433
784,2438
785,2437
786,2436
787,2441
788,2442
789,2443
790,2418
791,2417
792,2416
793,2411
794,2412
795,2413
796,2408
797,2407
798,2406
799,1781
800,1782
801,1783
802,1788
803,1787
804,1786
805,1791
806,1792
807,1793
808,1818
809,1817
810,1816
811,1811
812,1812
813,1813
814,1808
815,1807
816,1806
817,1831
818,1832
819,1833
820,1838
821,1837
822,1836
823,1841
824,1842
825,1843
826,1218
827,1217
828,1216
829,1211
830,1212
831,1213
832,1208
833,1207
834,1206
835,1181
836,1182
837,1183
838,1188
839,1187
840,1186
841,1191
842,1192
843,1193
844,1168
845,1167
846,1166
847,1161
848,1162
849,1163
850,1158
851,1157
852,1156
853,1155
854,1160
855,1165
856,1190
857,1185
858,1180
859,1205
860,1210
861,1215
862,1840
863,1835
864,1830
865,1805
866,1810
867,1815
868,1790
869,1785
870,1780
871,2405
872,2410
873,2415
874,2440
875,2435
876,2430
877,2455
878,2460
879,2465
880,2470
881,2445
882,2420
883,1795
884,1820
885,1845
886,1220
887,1195
888,1170
889,1171
890,1172
891,1173
892,1198
893,1197
894,1196
895,1221
896,1222
897,1223
898,1848
899,1847
900,1846
901,1821
902,1822
903,1823
904,1798
905,1797
906,1796
907,2421
908,2422
909,2423
910,2448
911,2447
912,2446
913,2471
914,2472
915,2473
916,2474
917,2449
918,2424
919,1799
920,1824
921,1849
922,1224
923,1199
924,1174
925,1149
926,1774
927,2399
928,2398
929,2397
930,2396
931,1771
932,1772
933,1773
934,1148
935,1147
936,1146
937,1145
938,1770
939,2395
940,2390
941,2385
942,2380
943,1755
944,1760
945,1765
946,1140
947,1135
948,1130
949,1131
950,1132
951,1133
952,1138
953,1137
954,1136
955,1141
956,1142
957,1143
958,1768
959,1767
960,1766
961,1761
962,1762
963,1763
964,1758
965,1757
966,1756
967,2381
968,2382
969,2383
970,2388
971,2387
972,2386
973,2391
974,2392
975,2393
976,2394
977,2389
978,2384
979,1759
980,1764
981,1769
982,1144
983,1139
984,1134
985,1129
986,1754
